time_s,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10,strain_11,strain_12,strain_13,strain_14,strain_15,strain_16
385800.0,-61.10588819984342,68.89095899086338,67.36842865873632,219.58102245451374,70.0546413059652,-25.11186253968889,-12.903005058302083,194.20005186941532,7.566822235350427,-50.36353859608573,55.40075392351278,-7.727328799638501,-7.558955547189918,-34.20828365820655,-43.93054540854735,-343.57225863451356
389471.4285714286,-60.94881744480663,68.88508507937108,67.37896640956575,219.06538882919187,69.94017421875736,-24.976267343898698,-12.642041122912348,193.54089965098888,7.62355418155166,-50.251248496625,55.32203437831309,-7.7582866395371894,-7.59430592208576,-34.32237595744644,-44.159028727116336,-342.6090281742796
393142.85714285716,-60.75683427698675,68.84652225602655,67.35793937484571,218.42568270053607,69.78799393147739,-24.823456355650443,-12.365080994113937,192.76388888065017,7.678813452546743,-50.11081311263512,55.21403592838976,-7.78688996856669,-7.62726397906309,-34.42484376036248,-44.37528361881958,-341.4452057236908
396814.28571428574,-60.742024159688086,68.93936350964027,67.46779411696427,218.42787047093213,69.82221823817729,-24.7753701391497,-12.206772307267387,192.6445296479567,7.729833652606085,-50.111097174180685,55.24510303713826,-7.814582875207579,-7.668328841588893,-34.54413997343099,-44.59905781417329,-341.36166519410267
400485.7142857143,-60.71839089480571,69.01970141921875,67.56606710952714,218.40020954897497,69.84629874288626,-24.72506840257439,-12.049030834106782,192.50270967174623,7.779040874872145,-50.10400850513347,55.26759979554552,-7.840098912609018,-7.70829291469278,-34.65531176703667,-44.81303280986962,-341.23509679312656
404157.14285714284,-60.685934482340556,69.08753598476208,67.65275835253428,218.3426999346645,69.86023544560426,-24.672551145924864,-11.891856574631378,192.33842895201883,7.8264351193448345,-50.08954710549331,55.28152620361128,-7.8634380807710365,-7.74715619835617,-34.758359141178694,-45.017208605906966,-341.0655005206709
407828.5714285714,-60.64465492229217,69.14286720627017,67.72786784598574,218.2553416280007,69.8640283463313,-24.617818369200954,-11.73524952884213,192.15168748877454,7.872016386024176,-50.06771297526022,55.28688226133582,-7.8846003796935555,-7.784918692585417,-34.853282095856194,-45.21158520227316,-340.85287637676123
411500.0,-60.59455221466042,69.18569508374308,67.79139558988139,218.13813462898366,69.85767744506735,-24.560870072402665,-11.579209696737292,191.9424852820133,7.915784674910178,-50.03850611443437,55.28366796871896,-7.903585809376572,-7.82158039738036,-34.94008063106325,-45.39616259897434,-340.5972243614246
415171.4285714286,-60.53562635944599,69.21601961718073,67.84334158422142,217.99107893761337,69.84118274181249,-24.50170625553005,-11.423737078318025,191.7108223317352,7.95773998600292,-50.00192652301553,55.271883325760896,-7.920394369820127,-7.85714131275127,-35.01875474680665,-45.57094079601623,-340.29854447461685
418842.85714285716,-60.46787735664796,69.23384080658307,67.8837058290057,217.81417455388976,69.81454423656665,-24.440326918583054,-11.268831673584517,191.4566986379402,7.997882319301972,-49.95797420100396,55.251528332461405,-7.935026061024287,-7.891601438676971,-35.0893044430779,-45.73591979339343,-339.95683671638557
422514.28571428574,-60.39130520626693,69.23915865195039,67.91248832423436,217.60742147781284,69.77776192932981,-24.376732061561682,-11.114493482536238,191.1801142006282,8.036211674808,-49.906649148399424,55.2226029888207,-7.947480882988903,-7.924960775182134,-35.15172971989904,-45.89109959109608,-339.5721010867019
426185.7142857143,-60.305909908302766,69.23197315328235,67.92968906990717,217.37081970938263,69.73083582010207,-24.310921684466006,-10.960722505173452,190.88106901979933,8.072728052520604,-49.84795136520206,55.1851072948387,-7.957758835714066,-7.95721932224664,-35.206030577242956,-46.036480189153416,-339.1443375855607
429857.14285714284,-60.211691462755304,69.21228431057915,67.93530806602435,217.10436924859917,69.67376590888334,-24.24289578729619,-10.807518741496214,190.55956309545357,8.107431452439869,-49.78188085141165,55.139041250515305,-7.965859919199748,-7.9883770798861615,-35.252207015118124,-46.17206158753705,-338.67354621298074
433528.5714285714,-60.108649869624756,69.18009212384075,67.92934531258578,216.80807009546248,69.60655219567364,-24.172654370051678,-10.654882191503992,190.21559642759087,8.140321874565716,-49.708437607028664,55.08440485585072,-7.971784133445957,-8.018434048085291,-35.29025903353978,-46.29784378624149,-338.15972696896694
437200.0,-59.99678512891122,69.13539659306707,67.91180080959157,216.48192224997243,69.52919468047298,-24.100197432732944,-10.502812855197185,189.84916901621128,8.171399318898342,-49.62762163205259,55.02119811084488,-7.975531478452734,-8.047390226860335,-35.32018663248423,-46.41382678529903,-337.6028798535161
440871.4285714286,-59.87609724061407,69.07819771825824,67.88267455704168,216.12592571212917,69.44169336328139,-24.025524975339803,-10.351310732575843,189.46028086131474,8.200663785437486,-49.53943292648355,54.949421015497755,-7.977101954220015,-8.075245616187313,-35.34198981197517,-46.52001058468033,-337.0030048665755
444542.85714285716,-59.74658620473405,69.00849549941422,67.84196655493598,215.74008048193247,69.34404824409881,-23.94863699787247,-10.200375823640076,189.04893196290132,8.228115274183205,-49.44387149032192,54.86907356980905,-7.976495560747799,-8.102000216100262,-35.35566857198295,-46.61639518441535,-336.3601020082232
448214.2857142857,-59.62170347359274,68.93722223934505,67.79890431624676,215.3700810825902,69.25226334977542,-23.876571668482214,-10.063620602657988,188.6661520034991,8.251107961839015,-49.352626234842255,54.78995764312888,-7.972833909439563,-8.129734875275668,-35.36373351752544,-46.69898884472928,-335.7523939246015
451885.7142857143,-59.52544119961343,68.88733720823492,67.77353401668945,215.0973486089874,69.1946541525553,-23.82032433674493,-9.959162490980527,188.39581309219363,8.267225309244727,-49.28635464054842,54.73094528251765,-7.96633673322589,-8.161989648557885,-35.37486593074468,-46.76872954835419,-335.3140262497983
455557.14285714284,-59.42917892563425,68.83745217712483,67.74816371713223,214.82461613538464,69.13704495533517,-23.764077005007728,-9.854704379302799,188.1254741808882,8.283342656650415,-49.22008304625451,54.67193292190647,-7.959839557012219,-8.194244421849948,-35.38599834397663,-46.83847025196967,-334.8756585749884
459228.5714285714,-59.33291665165497,68.78756714601474,67.722793417575,214.55188366178183,69.07943575811508,-23.70782967327068,-9.750246267625576,187.8551352695827,8.29946000405615,-49.153811451960635,54.61292056129526,-7.9533423807984995,-8.226499195131318,-35.397130757202646,-46.90821095560632,-334.43729090016996
462900.0,-59.23665437767601,68.73768211490466,67.6974231180178,214.2791511881791,69.02182656089495,-23.651582341533555,-9.645788155947955,187.58479635827723,8.31557735146175,-49.08753985766675,54.55390820068405,-7.946845204584834,-8.258753968419887,-35.40826317043036,-46.97795165921768,-333.9989232253617
466571.4285714286,-59.14039210369669,68.68779708379448,67.67205281846054,214.00641871457626,68.96421736367483,-23.595335009796326,-9.541330044270387,187.31445744697177,8.33169469886756,-49.02126826337283,54.49489584007277,-7.940348028371152,-8.291008741708033,-35.41939558365468,-47.047692362843534,-333.5605555505416
470242.85714285716,-59.04412982971732,68.63791205268438,67.64668251890329,213.73368624097355,68.9066081664547,-23.539087678059254,-9.436871932592767,187.04411853566634,8.347812046273257,-48.954996669078994,54.43588347946158,-7.933850852157472,-8.323263514986492,-35.43052799687901,-47.117433066467385,-333.1221878757266
473914.28571428574,-58.9478675557384,68.58802702157425,67.62131221934602,213.46095376737077,68.84899896923456,-23.482840346322075,-9.332413820915331,186.77377962436083,8.36392939367882,-48.888725074785135,54.37687111885023,-7.927353675943799,-8.355518288271673,-35.44166041010926,-47.187173770077784,-332.6838202009183
477585.7142857143,-58.85160528175888,68.53814199046418,67.59594191978883,213.18822129376798,68.79138977201444,-23.426593014584842,-9.227955709237763,186.5034407130554,8.380046741084614,-48.8224534804913,54.31785875823906,-7.920856499730099,-8.387773061559873,-35.45279282333443,-47.256914473712115,-332.24545252610835
